Name of model: Tensorflow model
Tested: 15/06/2021 17:06:02
Your model tested value: 0.866100013256073
Generating random algorithm: numpy.normal

Sigma	Tested value
0.1	0.3792000114917755
0.101	0.313400000333786
0.102	0.3587999939918518
0.103	0.3352999985218048
0.104	0.3596000075340271
0.105	0.35409998893737793
0.106	0.23070000112056732
0.107	0.38940000534057617
0.108	0.3273000121116638
0.109	0.3910999894142151
0.11	0.31630000472068787
0.111	0.15729999542236328
0.112	0.45669999718666077
0.113	0.3278999924659729
0.114	0.26919999718666077
0.115	0.4481000006198883
0.116	0.39820000529289246
0.117	0.32899999618530273
0.118	0.21549999713897705
0.119	0.46480000019073486
0.12	0.3319000005722046
0.121	0.3158999979496002
0.122	0.23899999260902405
0.123	0.2766000032424927
0.124	0.2434999942779541
0.125	0.18160000443458557
0.126	0.18279999494552612
0.127	0.27619999647140503
0.128	0.4099999964237213
0.129	0.2903999984264374
0.13	0.31779998540878296
0.131	0.2320999950170517
0.132	0.18219999969005585
0.133	0.26510000228881836
0.134	0.4309000074863434
0.135	0.23680000007152557
0.136	0.3887999951839447
0.137	0.22619999945163727
0.138	0.1868000030517578
0.139	0.303600013256073
0.14	0.29919999837875366
0.141	0.1454000025987625
0.142	0.1768999993801117
0.143	0.28220000863075256
0.144	0.287200003862381
0.145	0.3240000009536743
0.146	0.2467000037431717
0.147	0.17149999737739563
0.148	0.3109999895095825
0.149	0.22200000286102295
0.15	0.21320000290870667
0.151	0.10199999809265137
0.152	0.17030000686645508
0.153	0.29030001163482666
0.154	0.2522999942302704
0.155	0.2669999897480011
0.156	0.2517000138759613
0.157	0.25200000405311584
0.158	0.2777999937534332
0.159	0.32710000872612
0.16	0.20010000467300415
0.161	0.3012000024318695
0.162	0.23579999804496765
0.163	0.22910000383853912
0.164	0.11720000207424164
0.165	0.10620000213384628
0.166	0.3001999855041504
0.167	0.1396999955177307
0.168	0.14139999449253082
0.169	0.3059999942779541
0.17	0.10740000009536743
0.171	0.250900000333786
0.172	0.16899999976158142
0.173	0.2676999866962433
0.174	0.2152000069618225
0.175	0.19140000641345978
0.176	0.14970000088214874
0.177	0.121799997985363
0.178	0.10360000282526016
0.179	0.21960000693798065
0.18	0.24699999392032623
0.181	0.18850000202655792
0.182	0.29109999537467957
0.183	0.20509999990463257
0.184	0.12800000607967377
0.185	0.13369999825954437
0.186	0.17900000512599945
0.187	0.23810000717639923
0.188	0.20489999651908875
0.189	0.10170000046491623
0.19	0.2232999950647354
0.191	0.13740000128746033
0.192	0.0989999994635582
0.193	0.10320000350475311
0.194	0.2321999967098236
0.195	0.2045000046491623
0.196	0.2919999957084656
0.197	0.10040000081062317
0.198	0.27480000257492065
0.199	0.17720000445842743
0.2	0.19110000133514404
0.201	0.10530000180006027
0.202	0.20730000734329224
0.203	0.10300000011920929
0.204	0.23929999768733978
0.205	0.18039999902248383
0.206	0.1988999992609024
0.207	0.20649999380111694
0.208	0.23960000276565552
0.209	0.26030001044273376
0.21	0.17090000212192535
0.211	0.10779999941587448
0.212	0.3418000042438507
0.213	0.1639000028371811
0.214	0.20319999754428864
0.215	0.1923999935388565
0.216	0.1826999932527542
0.217	0.10019999742507935
0.218	0.11429999768733978
0.219	0.12160000205039978
0.22	0.14730000495910645
0.221	0.20200000703334808
0.222	0.24560000002384186
0.223	0.16030000150203705
0.224	0.15839999914169312
0.225	0.16660000383853912
0.226	0.11259999871253967
0.227	0.14149999618530273
0.228	0.24719999730587006
0.229	0.10419999808073044
0.23	0.1615000069141388
0.231	0.2160000056028366
0.232	0.15929999947547913
0.233	0.23909999430179596
0.234	0.12870000302791595
0.235	0.09690000116825104
0.236	0.1281999945640564
0.237	0.14869999885559082
0.238	0.10869999974966049
0.239	0.23170000314712524
0.24	0.16429999470710754
0.241	0.1615000069141388
0.242	0.10000000149011612
0.243	0.15209999680519104
0.244	0.10119999945163727
0.245	0.10400000214576721
0.246	0.25429999828338623
0.247	0.1356000006198883
0.248	0.12680000066757202
0.249	0.14480000734329224
0.25	0.09920000284910202
0.251	0.16760000586509705
0.252	0.12729999423027039
0.253	0.29089999198913574
0.254	0.11670000106096268
0.255	0.274399995803833
0.256	0.23510000109672546
0.257	0.12210000306367874
0.258	0.15360000729560852
0.259	0.09799999743700027
0.26	0.0982000008225441
